date,btc price
2024-12-31,92627
2024-12-30,93663
2024-12-29,95185
2024-12-28,94332
2024-12-27,95678
2024-12-26,99345
2024-12-25,98696
2024-12-24,94645
2024-12-23,95094
2024-12-22,97203
2024-12-21,97691
2024-12-20,97851
2024-12-19,100356
2024-12-18,106035
2024-12-17,106074
2024-12-16,104722
2024-12-15,101367
2024-12-14,101352
2024-12-13,100001
2024-12-12,101124
2024-12-11,96650
2024-12-10,97354
2024-12-09,101235
2024-12-08,99782
2024-12-07,99974
2024-12-06,97202
2024-12-05,98881
2024-12-04,96032
2024-12-03,95833
2024-12-02,97312
2024-12-01,96513
2024-11-30,97453
2024-11-29,95662
2024-11-28,95981
2024-11-27,91932
2024-11-26,93005
2024-11-25,98016
2024-11-24,97679
2024-11-23,98927
2024-11-22,98509
2024-11-21,94217
2024-11-20,92252
2024-11-19,90535
2024-11-18,89841
2024-11-17,90606
2024-11-16,90948
2024-11-15,87408
2024-11-14,90488
2024-11-13,88265
2024-11-12,88637
2024-11-11,80467
2024-11-10,76630
2024-11-09,76550
2024-11-08,75987
2024-11-07,75621
2024-11-06,69335
2024-11-05,67793
2024-11-04,68804
2024-11-03,69299
2024-11-02,69508
2024-11-01,70265
2024-10-31,72343
2024-10-30,72781
2024-10-29,69845
2024-10-28,67939
2024-10-27,67018
2024-10-26,66586
2024-10-25,68214
2024-10-24,66684
2024-10-23,67351
2024-10-22,67395
2024-10-21,68963
2024-10-20,68389
2024-10-19,68466
2024-10-18,67328
2024-10-17,67648
2024-10-16,66962
2024-10-15,66050
2024-10-14,62830
2024-10-13,63208
2024-10-12,62392
2024-10-11,60195
2024-10-10,60597
2024-10-09,62185
2024-10-08,62287
2024-10-07,62812
2024-10-06,62092
2024-10-05,62103
2024-10-04,60728
2024-10-03,60656
2024-10-02,60873
2024-10-01,63243
2024-09-30,65664
2024-09-29,65934
2024-09-28,65791
2024-09-27,65131
2024-09-26,63152
2024-09-25,64334
2024-09-24,63327
2024-09-23,63583
2024-09-22,63403
2024-09-21,63128
2024-09-20,62967
2024-09-19,61440
2024-09-18,60317
2024-09-17,58211
2024-09-16,59215
2024-09-15,60003
2024-09-14,60621
2024-09-13,58107
2024-09-12,57382
2024-09-11,57624
2024-09-10,57049
2024-09-09,54792
2024-09-08,54151
2024-09-07,53923
2024-09-06,56132
2024-09-05,57988
2024-09-04,57505
2024-09-03,59109
2024-09-02,57358
2024-09-01,58960
2024-08-31,59156
2024-08-30,59352
2024-08-29,59015
2024-08-28,59527
2024-08-27,62923
2024-08-26,64266
2024-08-25,64157
2024-08-24,64050
2024-08-23,60388
2024-08-22,61145
2024-08-21,59060
2024-08-20,59575
2024-08-19,58438
2024-08-18,59431
2024-08-17,58882
2024-08-16,57624
2024-08-15,58739
2024-08-14,60601
2024-08-13,59350
2024-08-12,58804
2024-08-11,60888
2024-08-10,60913
2024-08-09,61859
2024-08-08,55100
2024-08-07,55960
2024-08-06,53956
2024-08-05,58006
2024-08-04,60739
2024-08-03,61407
2024-08-02,65358
2024-08-01,64680
2024-07-31,66219
2024-07-30,66770
2024-07-29,68242
2024-07-28,68055
2024-07-27,67920
2024-07-26,65750
2024-07-25,65404
2024-07-24,65942
2024-07-23,67608
2024-07-22,68088
2024-07-21,67206
2024-07-20,66690
2024-07-19,63960
2024-07-18,64136
2024-07-17,65162
2024-07-16,64835
2024-07-15,60942
2024-07-14,59153
2024-07-13,57899
2024-07-12,57388
2024-07-11,57704
2024-07-10,57988
2024-07-09,56665
2024-07-08,55880
2024-07-07,58230
2024-07-06,56740
2024-07-05,57189
2024-07-04,60245
2024-07-03,62043
2024-07-02,62820
2024-07-01,62734
2024-06-30,60864
2024-06-29,60317
2024-06-28,61563
2024-06-27,60750
2024-06-26,61770
2024-06-25,60363
2024-06-24,63221
2024-06-23,64240
2024-06-22,64072
2024-06-21,64845
2024-06-20,64907
2024-06-19,65109
2024-06-18,66460
2024-06-17,66616
2024-06-16,66190
2024-06-15,66011
2024-06-14,66700
2024-06-13,68225
2024-06-12,67329
2024-06-11,69493
2024-06-10,69654
2024-06-09,69315
2024-06-08,69325
2024-06-07,70760
